domain,video_id,title,channel,channel_id,subscriber_count,view_count,like_count,comment_count,view_per_sub,like_per_view,upload_date,upload_weekday,duration_s,width,height,fps,aspect_ratio,has_chapters,has_nico_link,has_heatmap,was_premiere,collected_at,upload_hour,scene_duration_s,scene_fps,scene_num_scenes,scene_avg_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_max_shot_len_s,scene_cuts_per_minute,scene_avg_brightness,scene_avg_saturation,audio_duration_s,audio_bpm,audio_key,audio_key_confidence,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,audio_onsets_per_sec,audio_peak_energy_at_s,audio_lufs_i,audio_lra_lu,tag_style_top,tag_mood_top,tag_closeup_ratio,tag_wide_ratio,tag_avg_characters,tag_lyrics_text_ratio,lyrics_n_lyric_lines,lyrics_first_lyric_at_s,lyrics_lyric_lines_per_min,lyrics_lang,lyrics_source,lyrics_first_vocal_at_s,thumb_style,thumb_num_characters,thumb_has_text,thumb_mood,thumb_composition,thumb_brightness,thumb_saturation,title_len,title_has_emoji,title_bracket_segments,title_has_mv_mark,title_exclaim_count,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_cut_accel_at_peak,sync_first_cut_s,sync_first_lyric_at_s,sync_beats_per_cut,lyrics_topic_1,lyrics_topic_2,lyrics_sentiment,lyrics_addressee,lyrics_text_frame_ratio,lyrics_has_hardsub,hook_cuts_first_15s,hook_energy_first_10s_ratio,audio_peak_energy_ratio,group,lyrics_compression_ratio,lyrics_title_first_s,lyrics_title_count,lyrics_first_chorus_s,sync_cut_on_line_ratio,heat_slope_first_30s,heat_peak_at_ratio,heat_peak_value
vocaloid,hrBjKBPNi1c,聖人君子でありたい / 重音テトSV,しゃいと,UC-6CnJA6jkZdv_yfv5KIcDA,37300,14372966,153729,2500,385.3342,0.0107,20250418,4,130,1920,1080,30,1.778,False,False,True,True,2026-07-16T08:40:51,3,129.77,30.0,48,2.7,1.39,0.53,19.77,22.2,0.39,0.316,129.79,117.5,G minor,0.399,0.2178,0.0833,2803.0,4.42,110,-13.1,3.5,anime,분노,0.729,0.125,0.9,0.812,26,0,12.0,ja,ocr,0,anime,1,False,분노,인물 클로즈업,0.277,0.206,18,False,0,False,0,0.115,0.447,0.41,0.67,0,5.3,이별,판타지,부정,1인칭 독백,0.338,True,10,0.88,0.848,top,0.4892,,0,50,0.2553,0.008517,0.725,1.0
vocaloid,icBDYkfxpMs,"ループザルーム feat. 初音ミク / ""Looping the Rooms"" ft. Hatsune Miku",rusino / ルシノ,UCjuAuVO76nZ0mjYzdz3961Q,160000,57137873,943539,17000,357.1117,0.0165,20251218,3,134,1920,1080,30,1.778,False,True,True,False,2026-07-16T08:43:48,2,134.07,30.0,32,4.19,2.57,0.73,22.07,14.3,0.215,0.36,134.11,161.5,C minor,0.44,0.2213,0.0795,2654.0,2.45,40,-12.7,3.9,anime,긴장,0.219,0.75,1.94,0.438,13,16,5.8,ja,ocr,13,anime,1,False,슬픔,인물 클로즈업,0.308,0.281,57,False,0,False,0,0.134,0.29,0.86,2.13,16,11.3,희망,,긍정,1인칭 독백,0.284,True,4,0.816,0.298,top,0.6734,,0,78,0.0968,0.016595,0.2871,1.0
vocaloid,OSeSYGiDf9w,暴飲暴食P 「うそつきマカロン」feat. 重音テト,暴飲暴食P,UCRF-oSGAxISmpBubZT3WPXQ,77200,20836999,297758,20000,269.9093,0.0143,20260128,2,169,2560,1440,60,1.778,False,False,True,True,2026-07-16T08:45:56,3,169.01,59.481,95,1.78,1.06,0.29,9.18,33.7,0.633,0.683,169.03,107.7,G minor,0.701,0.1458,0.0489,2833.0,3.59,130,-16.6,3.1,anime,활기,0.853,0.074,1.13,0.768,29,10,10.3,ja,ocr,8,anime,1,False,슬픔,인물 클로즈업,0.707,0.622,26,False,0,False,0,0.169,0.287,1.89,0.6,10,3.2,자기긍정,이별,부정,1인칭 독백,0.471,True,5,0.801,0.769,top,0.4276,,0,132,0.1596,0.036672,0.1559,1.0
vocaloid,R401j1QAvEg,スプリットダンス / 初音ミク・重音テト,えいぷ,UCOD2pj9gjQvgJX6bbhj0xlQ,66100,10945279,199626,4600,165.5867,0.0182,20260213,4,147,1920,1080,24,1.778,False,False,True,False,2026-07-16T08:50:57,2,147.0,24.0,47,3.13,2.25,0.67,12.88,19.2,0.509,0.336,147.03,92.3,D minor,0.336,0.3153,0.1024,2933.0,2.37,120,-9.6,3.2,anime,평온,0.766,0.149,1.06,0.489,23,5,9.4,ja,asr,5,anime,1,True,활기,인물 클로즈업,0.663,0.462,20,False,0,False,0,0.162,0.239,0.16,1.88,5,4.8,이별,판타지,부정,1인칭 독백,0.11,True,5,0.88,0.816,top,0.6028,,0,50,0.1957,0.010558,0.7601,1.0
vocaloid,8Cm-7oCq9HA,[MV] TAK - ‘PPPP’ feat. 初音ミク、重音テト,TAK / DORIDORI,UCktjMRvuBnE_XLVWIMa2H1w,395000,55278843,684782,27000,139.9464,0.0124,20250917,2,156,1920,1080,24,1.778,False,False,True,True,2026-07-16T08:53:48,2,156.08,24.0,73,2.14,1.67,0.62,5.92,28.1,0.665,0.282,156.09,152.0,G# minor,0.448,0.3107,0.1467,2623.0,3.3,120,-10.3,5.3,anime,활기,0.37,0.329,1.68,0.712,18,8,6.9,ja,ocr,5,anime,2,False,활기,인물 클로즈업,0.846,0.279,33,False,1,True,0,0.11,0.444,1.08,3.17,8,5.4,사랑,,긍정,1인칭 독백,0.654,True,6,0.636,0.769,top,0.5569,,0,,0.125,0.018361,0.5686,1.0
vocaloid,3iUgKH8c7p4,いますぐ輪廻 / 初音ミク,NAKISO,UC7d3Y_v5O202eo006uvvPzw,522000,70361123,904544,25000,134.7914,0.0129,20250801,4,123,1920,1080,24,1.778,False,False,True,False,2026-07-16T08:57:53,3,122.5,24.0,41,2.99,1.62,0.67,12.38,20.1,0.372,0.104,122.51,143.6,D# major,0.277,0.3599,0.1438,2401.0,4.5,10,-10.2,2.8,anime,활기,0.537,0.122,0.73,0.732,43,0,21.1,ja,ocr,0,anime,1,False,활기,인물 클로즈업,0.579,0.326,13,False,0,False,0,0.111,0.35,1.22,0.67,0,7.1,이별,판타지,부정,1인칭 독백,0.738,True,8,1.09,0.082,top,0.4205,52,6,8,0.3,-0.017687,0.805,1.0
vocaloid,Ce25e2hH8GQ,春秋 feat. 紅月ナギ / ぬか暖簾［オリジナルMV］,ぬか暖簾,UCV9Z00kb1Khj66fIRv4JVyw,3430,355644,67,13,103.6863,0.0002,20251024,4,311,3840,2160,24,1.778,False,False,False,True,2026-07-16T09:00:22,5,311.29,24.0,2,155.65,155.65,17.29,294.0,0.4,0.284,0.196,311.31,161.5,F# major,0.803,0.1201,0.064,1920.0,1.9,210,-17.4,8.9,anime,평온,0.0,1.0,0.0,1.0,20,28,3.9,ja,ocr,2,anime,0,True,평온,풍경 와이드,0.453,0.323,29,False,0,False,0,4.099,0.0,0.0,294.0,28,403.8,희망,,긍정,1인칭 독백,0.513,True,0,0.377,0.675,top,0.7614,,0,,0.0,,,
vocaloid,uWMr16O_Aso,目撃！テト31世🎉🎃🧟雨衣・重音テト,はろける・HALLO CEL,UCzSSgepHcIeSH3SgVwUHBNw,341000,30064491,440649,14000,88.1657,0.0147,20251031,4,139,1920,1080,24,1.778,False,True,True,True,2026-07-16T09:02:09,2,138.71,24.0,41,3.38,1.62,0.75,18.12,17.7,0.486,0.379,138.73,161.5,G minor,0.329,0.2514,0.075,3259.0,2.67,120,-10.8,4.8,anime,활기,0.585,0.146,1.2,0.756,42,8,18.2,ja,ocr,1,anime,2,True,활기,인물 클로즈업,0.575,0.286,18,True,0,False,1,0.057,0.825,1.04,1.29,8,9.1,이별,판타지,부정,1인칭 독백,0.754,True,5,0.934,0.865,top,0.4419,,0,80,0.225,0.008295,0.735,1.0
vocaloid,OreUrf87EUE,我ら！ゴミ分別団／重音テト＆ずんだもん【SDGs Song】,かてらざわ,UCv0xLMeNJhh7J1jEDz3hOAQ,76900,6473798,123624,4700,84.1846,0.0191,20260111,6,137,1920,1080,30,1.778,False,False,True,False,2026-07-16T09:04:46,19,137.13,30.0,52,2.64,1.02,0.57,14.67,22.8,0.832,0.764,137.15,161.5,A minor,0.462,0.1771,0.092,2862.0,4.21,70,-14.4,6.3,anime,활기,0.308,0.0,1.58,0.769,28,4,12.3,ja,ocr,0,anime,2,False,활기,인물 클로즈업,0.827,0.733,31,False,1,False,1,0.047,0.706,0.81,1.23,4,7.1,이별,판타지,부정,3인칭 관찰,0.493,True,16,1.175,0.51,top,0.5509,,0,,0.1961,-0.004129,0.69,1.0
vocaloid,eCjfSDz4eRo,重音テトはこんなパーティ二人で抜け出せるのか／重音テトSV＆初音ミク,かてらざわ,UCv0xLMeNJhh7J1jEDz3hOAQ,76900,5465486,87605,1800,71.0726,0.016,20250517,5,101,1920,1080,30,1.778,False,False,True,False,2026-07-16T09:07:53,23,101.33,30.0,39,2.6,1.5,0.57,13.03,23.1,0.696,0.759,101.35,152.0,C# major,0.648,0.302,0.117,2625.0,4.6,70,-10.4,3.5,anime,활기,0.205,0.051,1.31,0.949,25,0,14.8,ja,ocr,0,anime,2,True,활기,인물 클로즈업,0.618,0.508,34,False,0,False,0,0.06,0.684,0.93,7.87,0,6.6,이별,판타지,부정,2인칭 대상,0.569,True,5,1.121,0.691,top,0.5174,,0,40,0.1316,-0.008002,0.7423,0.7639
