video_id,group,aspect_ratio,audio_bpm,audio_duration_s,audio_key,audio_key_confidence,audio_lra_lu,audio_lufs_i,audio_onsets_per_sec,audio_peak_energy_at_s,audio_peak_energy_ratio,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,channel,channel_id,collected_at,comment_count,duration_s,fps,has_chapters,has_heatmap,has_nico_link,height,hook_cuts_first_15s,hook_energy_first_10s_ratio,like_count,like_per_view,lyrics_addressee,lyrics_first_lyric_at_s,lyrics_first_vocal_at_s,lyrics_has_hardsub,lyrics_lang,lyrics_lyric_lines_per_min,lyrics_n_lyric_lines,lyrics_sentiment,lyrics_source,lyrics_text_frame_ratio,lyrics_topic_1,lyrics_topic_2,scene_avg_brightness,scene_avg_saturation,scene_avg_shot_len_s,scene_cuts_per_minute,scene_duration_s,scene_fps,scene_max_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_num_scenes,subscriber_count,sync_beats_per_cut,sync_cut_accel_at_peak,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_first_cut_s,sync_first_lyric_at_s,tag_avg_characters,tag_closeup_ratio,tag_lyrics_text_ratio,tag_mood_top,tag_style_top,tag_wide_ratio,thumb_brightness,thumb_composition,thumb_has_text,thumb_mood,thumb_num_characters,thumb_saturation,thumb_style,title,title_bracket_segments,title_exclaim_count,title_has_emoji,title_has_mv_mark,title_len,upload_date,upload_hour,upload_weekday,view_count,view_per_sub,was_premiere,width
hrBjKBPNi1c,top,1.778,117.5,129.79,G minor,0.399,3.5,-13.1,4.42,110,0.848,0.2178,0.0833,2803.0,しゃいと,UC-6CnJA6jkZdv_yfv5KIcDA,2026-07-16T08:40:51,2500,130,30,False,True,False,1080,10,0.88,153729,0.0107,1인칭 독백,0,0,True,ja,12.0,26,부정,ocr,0.338,이별,판타지,0.39,0.316,2.7,22.2,129.77,30.0,19.77,1.39,0.53,48,37300,5.3,0.41,0.115,0.447,0.67,0,0.9,0.729,0.812,분노,anime,0.125,0.277,인물 클로즈업,False,분노,1,0.206,anime,聖人君子でありたい / 重音テトSV,0,0,False,False,18,20250418,3,4,14372966,385.3342,True,1920
icBDYkfxpMs,top,1.778,161.5,134.11,C minor,0.44,3.9,-12.7,2.45,40,0.298,0.2213,0.0795,2654.0,rusino / ルシノ,UCjuAuVO76nZ0mjYzdz3961Q,2026-07-16T08:43:48,17000,134,30,False,True,True,1080,4,0.816,943539,0.0165,1인칭 독백,16,13,True,ja,5.8,13,긍정,ocr,0.284,희망,,0.215,0.36,4.19,14.3,134.07,30.0,22.07,2.57,0.73,32,160000,11.3,0.86,0.134,0.29,2.13,16,1.94,0.219,0.438,긴장,anime,0.75,0.308,인물 클로즈업,False,슬픔,1,0.281,anime,"ループザルーム feat. 初音ミク / ""Looping the Rooms"" ft. Hatsune Miku",0,0,False,False,57,20251218,2,3,57137873,357.1117,False,1920
OSeSYGiDf9w,top,1.778,107.7,169.03,G minor,0.701,3.1,-16.6,3.59,130,0.769,0.1458,0.0489,2833.0,暴飲暴食P,UCRF-oSGAxISmpBubZT3WPXQ,2026-07-16T08:45:56,20000,169,60,False,True,False,1440,5,0.801,297758,0.0143,1인칭 독백,10,8,True,ja,10.3,29,부정,ocr,0.471,자기긍정,이별,0.633,0.683,1.78,33.7,169.01,59.481,9.18,1.06,0.29,95,77200,3.2,1.89,0.169,0.287,0.6,10,1.13,0.853,0.768,활기,anime,0.074,0.707,인물 클로즈업,False,슬픔,1,0.622,anime,暴飲暴食P 「うそつきマカロン」feat. 重音テト,0,0,False,False,26,20260128,3,2,20836999,269.9093,True,2560
R401j1QAvEg,top,1.778,92.3,147.03,D minor,0.336,3.2,-9.6,2.37,120,0.816,0.3153,0.1024,2933.0,えいぷ,UCOD2pj9gjQvgJX6bbhj0xlQ,2026-07-16T08:50:57,4600,147,24,False,True,False,1080,5,0.88,199626,0.0182,1인칭 독백,5,5,True,ja,9.4,23,부정,asr,0.11,이별,판타지,0.509,0.336,3.13,19.2,147.0,24.0,12.88,2.25,0.67,47,66100,4.8,0.16,0.162,0.239,1.88,5,1.06,0.766,0.489,평온,anime,0.149,0.663,인물 클로즈업,True,활기,1,0.462,anime,スプリットダンス / 初音ミク・重音テト,0,0,False,False,20,20260213,2,4,10945279,165.5867,False,1920
8Cm-7oCq9HA,top,1.778,152.0,156.09,G# minor,0.448,5.3,-10.3,3.3,120,0.769,0.3107,0.1467,2623.0,TAK / DORIDORI,UCktjMRvuBnE_XLVWIMa2H1w,2026-07-16T08:53:48,27000,156,24,False,True,False,1080,6,0.636,684782,0.0124,1인칭 독백,8,5,True,ja,6.9,18,긍정,ocr,0.654,사랑,,0.665,0.282,2.14,28.1,156.08,24.0,5.92,1.67,0.62,73,395000,5.4,1.08,0.11,0.444,3.17,8,1.68,0.37,0.712,활기,anime,0.329,0.846,인물 클로즈업,False,활기,2,0.279,anime,[MV] TAK - ‘PPPP’ feat. 初音ミク、重音テト,1,0,False,True,33,20250917,2,2,55278843,139.9464,True,1920
3iUgKH8c7p4,top,1.778,143.6,122.51,D# major,0.277,2.8,-10.2,4.5,10,0.082,0.3599,0.1438,2401.0,NAKISO,UC7d3Y_v5O202eo006uvvPzw,2026-07-16T08:57:53,25000,123,24,False,True,False,1080,8,1.09,904544,0.0129,1인칭 독백,0,0,True,ja,21.1,43,부정,ocr,0.738,이별,판타지,0.372,0.104,2.99,20.1,122.5,24.0,12.38,1.62,0.67,41,522000,7.1,1.22,0.111,0.35,0.67,0,0.73,0.537,0.732,활기,anime,0.122,0.579,인물 클로즈업,False,활기,1,0.326,anime,いますぐ輪廻 / 初音ミク,0,0,False,False,13,20250801,3,4,70361123,134.7914,False,1920
Ce25e2hH8GQ,top,1.778,161.5,311.31,F# major,0.803,8.9,-17.4,1.9,210,0.675,0.1201,0.064,1920.0,ぬか暖簾,UCV9Z00kb1Khj66fIRv4JVyw,2026-07-16T09:00:22,13,311,24,False,False,False,2160,0,0.377,67,0.0002,1인칭 독백,28,2,True,ja,3.9,20,긍정,ocr,0.513,희망,,0.284,0.196,155.65,0.4,311.29,24.0,294.0,155.65,17.29,2,3430,403.8,0.0,4.099,0.0,294.0,28,0.0,0.0,1.0,평온,anime,1.0,0.453,풍경 와이드,True,평온,0,0.323,anime,春秋 feat. 紅月ナギ / ぬか暖簾［オリジナルMV］,0,0,False,False,29,20251024,5,4,355644,103.6863,True,3840
uWMr16O_Aso,top,1.778,161.5,138.73,G minor,0.329,4.8,-10.8,2.67,120,0.865,0.2514,0.075,3259.0,はろける・HALLO CEL,UCzSSgepHcIeSH3SgVwUHBNw,2026-07-16T09:02:09,14000,139,24,False,True,True,1080,5,0.934,440649,0.0147,1인칭 독백,8,1,True,ja,18.2,42,부정,ocr,0.754,이별,판타지,0.486,0.379,3.38,17.7,138.71,24.0,18.12,1.62,0.75,41,341000,9.1,1.04,0.057,0.825,1.29,8,1.2,0.585,0.756,활기,anime,0.146,0.575,인물 클로즈업,True,활기,2,0.286,anime,目撃！テト31世🎉🎃🧟雨衣・重音テト,0,1,True,False,18,20251031,2,4,30064491,88.1657,True,1920
OreUrf87EUE,top,1.778,161.5,137.15,A minor,0.462,6.3,-14.4,4.21,70,0.51,0.1771,0.092,2862.0,かてらざわ,UCv0xLMeNJhh7J1jEDz3hOAQ,2026-07-16T09:04:46,4700,137,30,False,True,False,1080,16,1.175,123624,0.0191,3인칭 관찰,4,0,True,ja,12.3,28,부정,ocr,0.493,이별,판타지,0.832,0.764,2.64,22.8,137.13,30.0,14.67,1.02,0.57,52,76900,7.1,0.81,0.047,0.706,1.23,4,1.58,0.308,0.769,활기,anime,0.0,0.827,인물 클로즈업,False,활기,2,0.733,anime,我ら！ゴミ分別団／重音テト＆ずんだもん【SDGs Song】,1,1,False,False,31,20260111,19,6,6473798,84.1846,False,1920
eCjfSDz4eRo,top,1.778,152.0,101.35,C# major,0.648,3.5,-10.4,4.6,70,0.691,0.302,0.117,2625.0,かてらざわ,UCv0xLMeNJhh7J1jEDz3hOAQ,2026-07-16T09:07:53,1800,101,30,False,True,False,1080,5,1.121,87605,0.016,2인칭 대상,0,0,True,ja,14.8,25,부정,ocr,0.569,이별,판타지,0.696,0.759,2.6,23.1,101.33,30.0,13.03,1.5,0.57,39,76900,6.6,0.93,0.06,0.684,7.87,0,1.31,0.205,0.949,활기,anime,0.051,0.618,인물 클로즈업,True,활기,2,0.508,anime,重音テトはこんなパーティ二人で抜け出せるのか／重音テトSV＆初音ミク,0,0,False,False,34,20250517,23,5,5465486,71.0726,False,1920
