group,video_id,title,channel,view_per_sub,view_count,subscriber_count,upload_date
top,r1QapH1SIAI,fromis_9 (프로미스나인) 'LIKE YOU BETTER' MV,fromis_9,88.1387,26882301,305000,20250625
top,Qe8fa4b5xNU,화사 (HWASA) - 'Good Goodbye' MV,HWASA,85.5203,166764671,1950000,20251015
top,5ZB9JLfIw_Q,fromis_9 (프로미스나인) '하얀 그리움' MV,fromis_9,44.053,13436166,305000,20251202
top,HnYtDIW7elY,ZEROBASEONE (제로베이스원) 'ICONIK' MV,ZEROBASEONE,26.7319,56671591,2120000,20250901
top,wLKpQpC3-Sw,izna 'BEEP' MV,izna (이즈나),25.6004,51968910,2030000,20250609
top,NBZgirj_C2Y,XLOV 엑스러브 '1&Only' MV,XLOV,24.8245,29044720,1170000,20250613
top,2fyFx2u5fbU,izna 'Mamma Mia' MV,izna (이즈나),19.37,39321012,2030000,20250930
top,wlHwjkYpSr0,BABYMONSTER - ‘WE GO UP’ M/V,BABYMONSTER,17.2883,217832009,12600000,20251010
top,yd_uG3TtREs,BABYMONSTER - ‘PSYCHO’ M/V,BABYMONSTER,16.1579,203589094,12600000,20251118
top,7G6_avXknCk,P1Harmony (피원하모니) - ‘DUH!’ MV,P1Harmony,12.8128,22294339,1740000,20250508
top,H4H99b1CjPU,ATEEZ(에이티즈) - 'Lemon Drop' Official MV,KQ ENTERTAINMENT,12.5346,41990926,3350000,20250613
top,JOF2ZTqvzwY,ATEEZ(에이티즈) - 'In Your Fantasy' Official MV,KQ ENTERTAINMENT,12.3801,41473193,3350000,20250711
top,m18dRRu9-V4,P1Harmony (피원하모니) - ‘UNIQUE’ MV,P1Harmony,11.1022,19317891,1740000,20260312
top,NCuFonpf-qk,XLOV 엑스러브 'Rizz' MV,XLOV,9.8982,11580880,1170000,20251105
top,W8ml4ryPwic,STAYC(스테이씨) ‘I WANT IT’ MV,STAYC,7.9064,14705888,1860000,20250721
top,8cEdndsuzSE,XG - GALA (Official Music Video),XG,5.7807,28093976,4860000,20250919
top,cUfDOS2SINM,XG - HYPNOTIZE (Official Music Video),XG,5.2241,25389299,4860000,20260123
top,eHHQaoEW30Q,"TWICE ""THIS IS FOR"" M/V",JYP Entertainment,4.2121,135207759,32100000,20250711
top,CgCVZdcKcqY,BLACKPINK - ‘뛰어(JUMP)’ M/V,BLACKPINK,4.0544,409493817,101000000,20250711
top,P7vBoGWoReg,"Stray Kids ""CEREMONY"" M/V",JYP Entertainment,3.8169,122523956,32100000,20250822
top,nYueShCPYUY,ZEROBASEONE (제로베이스원) ‘LOVEPOCALYPSE’ MV,ZEROBASEONE,3.252,6894136,2120000,20260202
top,Ao2GsXHMD_4,JENNIE - Seoul City (Official Video),JENNIE,2.8502,50733745,17800000,20250426
top,M2WTUoy4y6E,aespa 에스파 'Dirty Work' MV,SMTOWN,2.7673,93259088,33700000,20250627
top,R2-yomhYAj4,"KATSEYE (캣츠아이) ""Gnarly"" Official MV",HYBE LABELS,2.563,209655126,81800000,20250430
top,n7kFRxFIPrI,Hearts2Hearts 하츠투하츠 'STYLE' MV,SMTOWN,2.0552,69258850,33700000,20250618
bottom,2oudQLZ0kY8,"[MV] Saza Choi(SAZA최우준) _ Now, I Want Some Peace(쉬련다)",1theK (원더케이),0.0,206,25100000,20250430
bottom,4jF2R41UvTI,[MV] Mew(미유) _ Lalala(라라라) (2022) 현대 Ver.,1theK (원더케이),0.0,663,25100000,20250430
bottom,Uv7LRq_R6xY,"YAOCHEN(야오천) - ""右肩的约定""(Our Promise) M/V",JYP Entertainment,0.001,33229,32100000,20251124
bottom,mWlOZ78kxJc,"YAOCHEN(야오천) ""你看风景我看你"" (EYES ON YOU) M/V",JYP Entertainment,0.0014,46340,32100000,20250428
bottom,f6u2FjgLesQ,[Pase A La Fama] Official Theme Song 'Qué Puedo Perder' Official MV by Yahritza Y Su Esencia,HYBE LABELS,0.0024,198373,81800000,20250516
bottom,Pl88TpRRWkI,BoA ボア 'Good for U' MV,SMTOWN,0.0082,275452,33700000,20250810
bottom,vlmXpQOE75c,TXT (투모로우바이투게더) 'SSS (Sending Secret Signals) (feat. HYDE)' Official MV,HYBE LABELS,0.0082,670037,81800000,20260208
bottom,k6a1YUHtJDs,CHANYEOL 찬열 'Ocean Drive' MV,SMTOWN,0.0108,365180,33700000,20250831
bottom,FpC0CCONgK8,BM - 'Ooh' MV,KARD,0.0565,210887,3730000,20251204
