group,video_id,title,channel,view_per_sub,view_count,subscriber_count,upload_date
middle,GRbWV4DQnYs,音街が威嚇するだけ - Otomachi just intimidates - (long ver.),しゃいと,0.6797,25354,37300,20250821
middle,0GnVdv2q3jM,サヨナラ天国また来て地獄 / 初音ミク,john / TOOBOE,0.6781,427850,631000,20250912
middle,EA1H2wHa7iU,"SHOOTING STARS / めろくる feat.初音ミク,鏡音リン,鏡音レン,巡音ルカ,MEIKO,KAITO",Mellowcle,0.6769,52935,78200,20250502
middle,3lcD9zv5r6c,Chinozo '株式会社ワタシ' feat.Hatsune MikU,Chinozo,0.684,411756,602000,20251212
middle,kqmefn-0lnc,あくむのひかり / 香椎モイミ feat. 初音ミク,香椎モイミ,0.6845,115686,169000,20250913
middle,91gVC-x_Dns,"ウィーアーピコピコハンマーズ!!!! (ソニック×初音ミク ""Project ONSOKU"") - cosMo＠暴走P",cosMo@bousouP Official Channel,0.6848,391035,571000,20250901
middle,4thcMKIMBYE,アリフレーション / 雨良 feat.初音ミク (ARIFRESHON / Amala ft.Hatsune Miku),雨良 Amala,0.6861,436371,636000,20250412
middle,cIrw7nGaOss,嘘吐き / 甘草 feat. 可不,甘草（後で消すP）,0.6877,1286,1870,20260315
middle,S-GL5XVZVoI,かがみよ / ひとしずく×やま△feat.鏡音リン・レン,ひとしずく×やま△ （Hitoshizuku_Yamasankakkei）,0.688,308893,449000,20250823
middle,3QCCszQXg00,廃墟にいますキャンペーン - 吉田夜世 feat.ちっく。【maimai でらっくす】,吉田夜世,0.6707,116701,174000,20251015
middle,eHJ6hKc-tjI,"【シーエ・MV】Next Me, Please【sunoオリジナル曲】　 Calne Ca",deino3330 / シーエ / Calne Ca / MV,0.6682,45304,67800,20251015
middle,TLbt5_zCUFg,Diva!! / めろくる feat. 初音ミク,Mellowcle,0.6996,54709,78200,20251220
middle,CYDe1AbVNL8,マリオネット・バレリーナ/ ひとしずく×やま△feat.初音ミク,ひとしずく×やま△ （Hitoshizuku_Yamasankakkei）,0.6586,295695,449000,20250828
middle,4Lo9ChANhr4,Giga & 堀江晶太(kemu) - 拍動(HAKUDO) ft. GUMI SV,Giga,0.7077,523700,740000,20250527
middle,N5YD6SEVwKs,『シャボン』/ feat.初音ミク,MIMI,0.7079,456618,645000,20250609
middle,jwXAw_PJDKs,Shapeless - 無來[吉田夜世],吉田夜世,0.7081,123214,174000,20250419
middle,AKq0scVgFg4,【初音ミク】さよならパンダ【オリジナルMV】,StudioTiara -Official-,0.6453,11292,17500,20251029
middle,4RV7NT7OC9M,『桜の戦略 』/ MIMI feat. マス,MIMI,0.6428,414609,645000,20250429
middle,bPJHH_bm5eM,31歳はおねえさんです！ - 重音テトSV2 / 31 Sai Wa Oneesan Desu ! - Kasane Teto SV2,知田そら / Chida Sora,0.7191,4602,6400,20260331
middle,q3K-go3tsoo,私なんて生まれてこなければよかったな #music,永久恋愛ととと Eclair Tototo,0.7285,1355,1860,20260203
middle,60U4dvVD1o0,僕たちが消えた夜 / 初音ミク,tokiwa,0.6296,13095,20800,20260223
middle,GxKmyAg5E9k,"ビビッドバイオレンス feat. 初音ミク / ""Vivid Violence"" ft. Hatsune Miku",rusino / ルシノ,0.6254,100065,160000,20250826
middle,ZlWaCPPmJKI,【重音テト】みじめな気分がこだまする,Diorite Shun,0.7425,943,1270,20250404
middle,ClhIaG79fSE,歌流間 / 獅子志司 MV,獅子志司,0.6084,129594,213000,20250404
middle,04_z8n-pyM4,ソリスト / 重音テトSV,佐藤ちなみに,0.7513,44855,59700,20250512
