group,video_id,title,channel,view_per_sub,view_count,subscriber_count,upload_date
top,hrBjKBPNi1c,聖人君子でありたい / 重音テトSV,しゃいと,385.1859,14367434,37300,20250418
top,icBDYkfxpMs,"ループザルーム feat. 初音ミク / ""Looping the Rooms"" ft. Hatsune Miku",rusino / ルシノ,356.6375,57061995,160000,20251218
top,OSeSYGiDf9w,暴飲暴食P 「うそつきマカロン」feat. 重音テト,暴飲暴食P,269.7628,20825689,77200,20260128
top,R401j1QAvEg,スプリットダンス / 初音ミク・重音テト,えいぷ,165.3578,10930149,66100,20260213
top,8Cm-7oCq9HA,[MV] TAK - ‘PPPP’ feat. 初音ミク、重音テト,TAK / DORIDORI,139.8339,55234406,395000,20250917
top,3iUgKH8c7p4,いますぐ輪廻 / 初音ミク,NAKISO,134.705,70316019,522000,20250801
top,Ce25e2hH8GQ,春秋 feat. 紅月ナギ / ぬか暖簾［オリジナルMV］,ぬか暖簾,103.6528,355529,3430,20251024
top,uWMr16O_Aso,目撃！テト31世🎉🎃🧟雨衣・重音テト,はろける・HALLO CEL,88.1469,30058076,341000,20251031
top,OreUrf87EUE,我ら！ゴミ分別団／重音テト＆ずんだもん【SDGs Song】,かてらざわ,84.2147,6467690,76800,20260111
top,eCjfSDz4eRo,重音テトはこんなパーティ二人で抜け出せるのか／重音テトSV＆初音ミク,かてらざわ,71.1163,5461733,76800,20250517
top,TbakFPc4ZTw,怪獣になりたい / Sakuzyo feat. 初音ミク 【プロジェクトセカイChampionship 2025】【MV】,Sakuzyo Official,70.8221,8711114,123000,20251018
top,rv_SfZ2DVRA,このサメ飼ってもいい？ - 初音ミク [せなすけ] Official MV,せなすけ,67.8084,5858644,86400,20250625
top,Dz5rALpx06M,バゥムクゥヘン・エンドロゥル / 雨良 feat.初音ミクVS重音テトVS亞北ネル(Baumkuchen End Credits / Amala ft.Miku vs Teto vs Neru),雨良 Amala,56.6588,36034981,636000,20251226
top,bmbAm-fKnbQ,"クローンクローン / GUMI, 鏡音リン",Atena,36.2896,6132947,169000,20250628
top,7Ucwpeg9iXM,"どりーむもーど / 音街ウナ, 歌愛ユキ",Atena,33.1713,5605949,169000,20251101
top,JAWrvTEPDLc,クローバー♧クラブ -C♧C- / ゆうゆ feat.初音ミク (Clover Club -C&C- / Yuuyu feat.Hatsune Miku),ゆうゆ /仮乃スガタ,32.9861,1547046,46900,20250412
top,IxSvgPhdc8c,弱者のマーチ / 重音テト,えいぷ,31.3343,2071194,66100,20260123
top,s4kAOHUSvT8,トーストになっちゃった！！ / 足立レイ,maino,27.2382,329582,12100,20251128
top,ZxmqjmSCJOY,ブラッドドール / 初音ミク,Fuyuuu,24.1743,548757,22700,20250530
top,W9eytW6iZKY,V  / Kakuriyo feat.初音ミク+鏡音リン+重音テト+GUMI+flower,Kakuriyo(幽世55番街),23.4274,400609,17100,20250617
top,7EYuHASt2Ks,"ᵇᵉˢᵗ ᶠʳⁱᴱᴺᴰ / 雨衣, 初音ミク",hya,19.6824,1210468,61500,20251018
top,Jtm6ikBIl0g,ピノキオピー - T氏の話を信じるな feat. 初音ミク・重音テト / Don’t Believe in T,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,15.5024,25889061,1670000,20250627
top,cknsKkzA2lM,サ終あざした / 重音テトSV,avaraya,14.1449,705832,49900,20250701
top,4LrRm2Kv0So,リトライ！ / 初音ミク・重音テト - Retry!,hiroki.,13.4826,1415674,105000,20251024
top,7qAAg5WeB20,"halyosy - ダンロウグモ ft. KAITO, 鏡音レン [Official Video]",halyosy,13.337,2854110,214000,20251030
bottom,-FX7yWRFw9Y,【Youtube登録5万人感謝曲】箱庭は続く / feat. DIORAMA×知声×可不,DIORAMA,0.0037,229,61800,20251203
bottom,E0MpuPcY_1A,【メリクリ】夜撫でるメノウ / Ayase feat.DIORAMA & GUMI SV,DIORAMA,0.0071,436,61800,20251224
bottom,h-ibHxT6xbY,九月の妄想 September Delusion #horror #dreamcore #liminalspace,永久恋愛ととと Eclair Tototo,0.021,39,1860,20251014
bottom,SgmdoeayELI,"愛して愛して愛のザイシャ Love Me, Love Me, the Sin Named Zaisya #初音ミク #music #オリジナル曲",永久恋愛ととと Eclair Tototo,0.0371,69,1860,20251122
bottom,aIIevDkXt2E,快晴の扉を開けて / 初音ミク【イラスト統一祭2025】,赤猫,0.0463,82,1770,20250919
bottom,LaceJI6HjpI,"明日、僕が消える前に / 雨良 feat.初音ミク (Tomorrow, before I disappear / Amala ft.Miku)",雨良 Amala,0.0524,33324,636000,20250628
bottom,CfGwxWa5dqM,レイス / AI ナースロボ_タイプT × ナースロボ_タイプT,赤猫,0.0633,112,1770,20251124
bottom,mUTOHRgD-os,【重音テト】ロックな心でぶっ壊せ【オリジナル】,Diorite Shun,0.0661,84,1270,20260222
bottom,HWgwsHrNQU4,BALLOON  -alternative- feat.TIARA,StudioTiara -Official-,0.0701,1227,17500,20251121
bottom,uXvbBt3o0GU,【重音テト】何億光年と走り抜け,Diorite Shun,0.0787,100,1270,20250926
bottom,PvV3HZvv5a0,Silent Destiny feat.てぃあら,StudioTiara -Official-,0.081,1417,17500,20251230
bottom,iFn15MwYJ9g,【VocaDuo2025】ショコラマジック / チーム dolce m!ele,rusino / ルシノ,0.0884,14145,160000,20250705
bottom,i-FD7IfSJ40,歌流間 / 初音ミク MV,獅子志司,0.0932,19850,213000,20250404
bottom,VRukT2CJTzQ,Nýx / TOOBOE,john / TOOBOE,0.0945,59655,631000,20250926
bottom,h-m5Cs47sq0,すているうぷ / 南ノ南 feat.東北きりたん,南ノ南,0.1042,12919,124000,20260212
bottom,78F_I8MQLYM,【鏡音レン・Yuma】ナイトメアディナータイム【オリジナルMV】,ひとしずく×やま△ （Hitoshizuku_Yamasankakkei）,0.1046,46950,449000,20260116
bottom,zN4Y7tFF8BY,"「リトルシスター」40mP feat.彩澄しゅお,彩澄りりせ",40meterP,0.1216,74323,611000,20250801
bottom,yV5-Gk59p8o,螟｢迴ｾ,rusino / ルシノ,0.1303,20846,160000,20250519
bottom,lhwV573qUlE,暴飲暴食P「江戸前ビューティーサロン寿司美」feat. 可不,暴飲暴食P,0.1324,10221,77200,20250613
bottom,0xEOpbQWb4c,【オリジナル曲】僕はリーダーになれない｜─届かない場所へ手を伸ばして─,Ryo Yoshioka,0.1404,424,3020,20250620
bottom,-hgaSBzS_Z0,見失ってしまった - 氷山キヨテルSV / But I Lost It - Hiyama Kiyoteru SV,知田そら / Chida Sora,0.1498,959,6400,20260320
bottom,zLbH9iN7aSU,海底の神社 ~ The Undersea Shrine,sawn,0.1539,1239,8050,20250727
bottom,hfY9-ROVfvg,カラフルファンデーション feat.初音ミク 【プロジェクトセカイ】,mikitoP  Official,0.1584,77434,489000,20260318
bottom,X2CFrEDiDyY,Pain / めろくる feat. 初音ミク,Mellowcle,0.1632,12766,78200,20250620
bottom,JiE9drSO8nk,星屑ジェットコースター - かめりあ feat.初音ミク【MV】 [From 初音ミク 夜空プログラム2025],Camellia Official,0.1633,90456,554000,20251102
